species	parameter	value	min	max
bh	bh_expA_mumax	0.6135102067672555	0.1	2.0
bh	bh_expA_pHopt	5.335109967094694	5.0	8.0
bh	bh_expA_pHalpha	56.32901040808235	10.0	400.0
bh	bh_expB_mumax	1.6539325484457548	0.1	2.0
bh	bh_expB_pHopt	6.428162639495594	5.0	8.0
bh	bh_expB_pHalpha	41.99811649248048	10.0	400.0
bh	bh_z1_r	0.010060773178777627	0.0	3.0
bh	bh_z2_r	0.05025624567579884	0.0	3.0
bh	bh_z3_r	0.035473001604833576	0.0	3.0
bh	bh_z4_r	0.017957985628254347	0.0	3.0
bh	bh_monod_trehalose	5.1940748666032555	0.1	10.0
bh	bh_monod_pyruvate	0.22890660573708363	0.1	10.0
bh	bh_monod_glucose	0.36404114822979394	0.1	10.0
bh	bh_monod_glutamate	0.10008331542112008	0.1	10.0
bh	bh_expA_ft1_trehalose_g	0.6090873623391507	0.0	10.0
bh	bh_expA_ft1_acetate_g	-2.2559880983195946	-10.0	0.0
bh	bh_expA_ft1_lactate_g	-1.0925950869014915	-10.0	0.0
bh	bh_expA_ft2_pyruvate_g	1.1952167068896697	0.0	10.0
bh	bh_expA_ft2_acetate_g	-0.8827839785427294	-10.0	0.0
bh	bh_expB_ft3_glucose_g	1.6927033602724895	0.0	10.0
bh	bh_expB_ft3_glutamate_g	1.0485096326274634	0.0	10.0
bh	bh_expB_ft3_acetate_g	-2.5405356399876142	-10.0	0.0
bh	glutamate_conc	1.0184967992982707	0.0	10.0
bh	bh_z1_t1	0.016426039623332982	0.01	10.0
bh	bh_z1_t2	9.593795408388969	0.0001	10.0
bh	bh_z1_h1	9.158003878376528	0.0001	10.0
bh	bh_z1_h2	7.7840322272222195	0.0001	10.0
bh	bh_z3_t1	0.17526182548357183	0.0001	1.0
bh	bh_z3_t2	0.1801355028789256	0.0001	1.0
bh	bh_z3_h1	8.202809380835436	0.0001	10.0
bh	bh_z3_h2	9.006325097721932	0.0001	10.0
