time	experiment	replicate	live
0	bhri	A	0.01364
4	bhri	A	0.03623
8	bhri	A	0.21832
12	bhri	A	0.5573
16	bhri	A	1.1906
20	bhri	A	1.2791
24	bhri	A	3.7823
28	bhri	A	8.7237
32	bhri	A	10.9971
36	bhri	A	9.7307
48	bhri	A	12.9807
60	bhri	A	4.1668
72	bhri	A	2.014
96	bhri	A	1.575
120	bhri	A	0.9995
0	bhri	B	0.01383
4	bhri	B	0.02991
8	bhri	B	0.23748
12	bhri	B	0.5624
16	bhri	B	0.6763
20	bhri	B	1.6389
24	bhri	B	5.0421
28	bhri	B	9.9219
32	bhri	B	11.7061
36	bhri	B	12.7803
48	bhri	B	10.8613
60	bhri	B	3.0426
72	bhri	B	1.7973
96	bhri	B	1.6966
120	bhri	B	0.728
0	bhri	C	0.01306
4	bhri	C	0.02986
8	bhri	C	0.22263
12	bhri	C	0.5123
16	bhri	C	0.5893
20	bhri	C	0.9419
24	bhri	C	2.09
28	bhri	C	5.6265
32	bhri	C	6.4013
36	bhri	C	13.1775
48	bhri	C	12.4005
60	bhri	C	3.273
72	bhri	C	1.8793
96	bhri	C	1.833
120	bhri	C	1.0247
0	bhbt	A	0.02197
4	bhbt	A	0.02105
8	bhbt	A	0.02505
12	bhbt	A	0.10255
16	bhbt	A	0.2466
20	bhbt	A	0.94715
24	bhbt	A	3.1841
28	bhbt	A	6.71785
32	bhbt	A	9.6033
36	bhbt	A	8.5994
40	bhbt	A	11.13985
44	bhbt	A	9.81155
48	bhbt	A	8.4758
60	bhbt	A	2.33545
72	bhbt	A	1.2386
96	bhbt	A	1.1072
120	bhbt	A	0.74315
0	bhbt	B	0.02388
4	bhbt	B	0.01983
8	bhbt	B	0.02345
12	bhbt	B	0.10255
16	bhbt	B	0.3033
20	bhbt	B	0.6343
24	bhbt	B	1.5719
28	bhbt	B	3.9737
32	bhbt	B	7.3506
36	bhbt	B	10.74855
40	bhbt	B	11.3604
44	bhbt	B	11.1171
48	bhbt	B	9.8526
60	bhbt	B	3.4073
72	bhbt	B	1.8128
96	bhbt	B	1.4618
120	bhbt	B	0.805
0	bhbt	C	0.02468
4	bhbt	C	0.02167
8	bhbt	C	0.02905
12	bhbt	C	0.10255
16	bhbt	C	0.32905
20	bhbt	C	0.55715
24	bhbt	C	0.83955
28	bhbt	C	1.68175
32	bhbt	C	3.3615
36	bhbt	C	4.8018
40	bhbt	C	6.53025
44	bhbt	C	10.21165
48	bhbt	C	9.9562
60	bhbt	C	7.3879
72	bhbt	C	2.44885
96	bhbt	C	1.8739
120	bhbt	C	1.3809
0	bhbtri	A	0.01988
4	bhbtri	A	0.04312
8	bhbtri	A	0.2164
12	bhbtri	A	0.4558
16	bhbtri	A	0.6925
20	bhbtri	A	0.9709
24	bhbtri	A	1.8749
28	bhbtri	A	4.4117
32	bhbtri	A	7.922
36	bhbtri	A	10.3634
40	bhbtri	A	10.3324
44	bhbtri	A	7.5207
48	bhbtri	A	10.2076
60	bhbtri	A	3.758
72	bhbtri	A	2.3463
96	bhbtri	A	1.9944
120	bhbtri	A	1.8133
0	bhbtri	B	0.02427
4	bhbtri	B	0.04309
8	bhbtri	B	0.22
12	bhbtri	B	0.4414
16	bhbtri	B	0.5194
20	bhbtri	B	0.8511
24	bhbtri	B	1.6374
28	bhbtri	B	3.8008
32	bhbtri	B	6.6535
36	bhbtri	B	9.9427
40	bhbtri	B	11.1655
44	bhbtri	B	12.1415
48	bhbtri	B	10.7097
60	bhbtri	B	4.239
72	bhbtri	B	2.5651
96	bhbtri	B	2.1495
120	bhbtri	B	1.8642
