time	experiment	replicate	od
0	bhri	A	0.004746835
4	bhri	A	0.014240506
8	bhri	A	0.053797468
12	bhri	A	0.07278481
16	bhri	A	0.140822785
20	bhri	A	0.188291139
24	bhri	A	0.444620253
28	bhri	A	0.724683544
32	bhri	A	0.914556962
36	bhri	A	1
48	bhri	A	0.911392405
60	bhri	A	0.719936709
72	bhri	A	0.669303797
96	bhri	A	0.628164557
120	bhri	A	0.636075949
0	bhri	B	0.002980626
4	bhri	B	0.013412817
8	bhri	B	0.052160954
12	bhri	B	0.074515648
16	bhri	B	0.119225037
20	bhri	B	0.217585693
24	bhri	B	0.539493294
28	bhri	B	0.791356185
32	bhri	B	0.962742176
36	bhri	B	1
48	bhri	B	0.859910581
60	bhri	B	0.697466468
72	bhri	B	0.694485842
96	bhri	B	0.634873323
120	bhri	B	0.636363636
0	bhri	C	0.006557377
4	bhri	C	0.021311475
8	bhri	C	0.052459016
12	bhri	C	0.07704918
16	bhri	C	0.132786885
20	bhri	C	0.180327869
24	bhri	C	0.301639344
28	bhri	C	0.570491803
32	bhri	C	0.82295082
36	bhri	C	1
48	bhri	C	0.998360656
60	bhri	C	0.760655738
72	bhri	C	0.672131148
96	bhri	C	0.650819672
120	bhri	C	0.660655738
0	bhbt	A	0.011056511
4	bhbt	A	0.002457002
8	bhbt	A	0
12	bhbt	A	0.007371007
16	bhbt	A	0.034398034
20	bhbt	A	0.144963145
24	bhbt	A	0.476658477
28	bhbt	A	0.749385749
32	bhbt	A	0.928746929
36	bhbt	A	1
40	bhbt	A	0.960687961
44	bhbt	A	0.906633907
48	bhbt	A	0.825552826
60	bhbt	A	0.604422604
72	bhbt	A	0.533169533
96	bhbt	A	0.538083538
120	bhbt	A	0.528255528
0	bhbt	B	0.011933174
4	bhbt	B	0.002386635
8	bhbt	B	0
12	bhbt	B	0.00477327
16	bhbt	B	0.033412888
20	bhbt	B	0.095465394
24	bhbt	B	0.243436754
28	bhbt	B	0.479713604
32	bhbt	B	0.727923628
36	bhbt	B	0.959427208
40	bhbt	B	1
44	bhbt	B	0.968973747
48	bhbt	B	0.904534606
60	bhbt	B	0.661097852
72	bhbt	B	0.544152745
96	bhbt	B	0.53221957
120	bhbt	B	0.525059666
0	bhbt	C	0.003807107
4	bhbt	C	0.007614213
8	bhbt	C	0
12	bhbt	C	0.005076142
16	bhbt	C	0.055837563
20	bhbt	C	0.083756345
24	bhbt	C	0.175126904
28	bhbt	C	0.294416244
32	bhbt	C	0.449238579
36	bhbt	C	0.565989848
40	bhbt	C	0.779187817
44	bhbt	C	0.987309645
48	bhbt	C	1
60	bhbt	C	0.78680203
72	bhbt	C	0.581218274
96	bhbt	C	0.54822335
120	bhbt	C	0.540609137
0	bhbtri	A	0.002197802
4	bhbtri	A	0.006593407
8	bhbtri	A	0.031868132
12	bhbtri	A	0.047252747
16	bhbtri	A	0.085714286
20	bhbtri	A	0.148351648
24	bhbtri	A	0.236263736
28	bhbtri	A	0.478021978
32	bhbtri	A	0.747252747
36	bhbtri	A	0.857142857
40	bhbtri	A	1
44	bhbtri	A	0.956043956
48	bhbtri	A	0.895604396
60	bhbtri	A	0.554945055
72	bhbtri	A	0.521978022
96	bhbtri	A	0.483516484
120	bhbtri	A	0.461538462
0	bhbtri	B	0.004324324
4	bhbtri	B	0.005405405
8	bhbtri	B	0.029189189
12	bhbtri	B	0.043243243
16	bhbtri	B	0.085405405
20	bhbtri	B	0.124324324
24	bhbtri	B	0.2
28	bhbtri	B	0.437837838
32	bhbtri	B	0.648648649
36	bhbtri	B	0.875675676
40	bhbtri	B	0.978378378
44	bhbtri	B	1
48	bhbtri	B	0.913513514
60	bhbtri	B	0.578378378
72	bhbtri	B	0.535135135
96	bhbtri	B	0.491891892
120	bhbtri	B	0.47027027
