time	experiment	replicate	pH
0	bhri	A	6.57
4	bhri	A	6.65
8	bhri	A	6.57
12	bhri	A	6.6
16	bhri	A	6.53
20	bhri	A	6.48
24	bhri	A	6.43
28	bhri	A	6.36
32	bhri	A	6.02
36	bhri	A	5.56
48	bhri	A	5.35
60	bhri	A	5.3
72	bhri	A	5.39
96	bhri	A	5.34
120	bhri	A	5.34
0	bhri	B	6.57
4	bhri	B	6.65
8	bhri	B	6.53
12	bhri	B	6.6
16	bhri	B	6.57
20	bhri	B	6.48
24	bhri	B	6.39
28	bhri	B	6.27
32	bhri	B	5.85
36	bhri	B	5.47
48	bhri	B	5.35
60	bhri	B	5.3
72	bhri	B	5.35
96	bhri	B	5.35
120	bhri	B	5.34
0	bhri	C	6.57
4	bhri	C	6.65
8	bhri	C	6.65
12	bhri	C	6.56
16	bhri	C	6.61
20	bhri	C	6.52
24	bhri	C	6.47
28	bhri	C	6.44
32	bhri	C	6.23
36	bhri	C	5.73
48	bhri	C	5.34
60	bhri	C	5.34
72	bhri	C	5.39
96	bhri	C	5.35
120	bhri	C	5.38
0	bhbt	A	6.61
4	bhbt	A	6.57
8	bhbt	A	6.56
12	bhbt	A	6.52
16	bhbt	A	6.48
20	bhbt	A	6.48
24	bhbt	A	6.43
28	bhbt	A	6.26
32	bhbt	A	5.8
36	bhbt	A	5.43
40	bhbt	A	5.3
44	bhbt	A	5.26
48	bhbt	A	5.25
60	bhbt	A	5.26
72	bhbt	A	5.25
96	bhbt	A	5.25
120	bhbt	A	5.22
0	bhbt	B	6.57
4	bhbt	B	6.61
8	bhbt	B	6.6
12	bhbt	B	6.52
16	bhbt	B	6.48
20	bhbt	B	6.52
24	bhbt	B	6.52
28	bhbt	B	6.35
32	bhbt	B	6.14
36	bhbt	B	5.64
40	bhbt	B	5.39
44	bhbt	B	5.26
48	bhbt	B	5.25
60	bhbt	B	5.26
72	bhbt	B	5.3
96	bhbt	B	5.26
120	bhbt	B	5.26
0	bhbt	C	6.61
4	bhbt	C	6.65
8	bhbt	C	6.56
12	bhbt	C	6.52
16	bhbt	C	6.48
20	bhbt	C	6.52
24	bhbt	C	6.52
28	bhbt	C	6.43
32	bhbt	C	6.4
36	bhbt	C	6.4
40	bhbt	C	6.02
44	bhbt	C	5.6
48	bhbt	C	5.42
60	bhbt	C	5.2
72	bhbt	C	5.3
96	bhbt	C	5.3
120	bhbt	C	5.25
0	bhbtri	A	6.65
4	bhbtri	A	6.65
8	bhbtri	A	6.52
12	bhbtri	A	6.57
16	bhbtri	A	6.52
20	bhbtri	A	6.48
24	bhbtri	A	6.35
28	bhbtri	A	6.31
32	bhbtri	A	5.97
36	bhbtri	A	5.67
40	bhbtri	A	5.42
44	bhbtri	A	5.42
48	bhbtri	A	5.38
60	bhbtri	A	5.38
72	bhbtri	A	5.38
96	bhbtri	A	5.33
120	bhbtri	A	5.37
0	bhbtri	B	6.65
4	bhbtri	B	6.65
8	bhbtri	B	6.52
12	bhbtri	B	6.52
16	bhbtri	B	6.52
20	bhbtri	B	6.48
24	bhbtri	B	6.4
28	bhbtri	B	6.31
32	bhbtri	B	6.09
36	bhbtri	B	5.71
40	bhbtri	B	5.47
44	bhbtri	B	5.42
48	bhbtri	B	5.38
60	bhbtri	B	5.34
72	bhbtri	B	5.38
96	bhbtri	B	5.33
120	bhbtri	B	5.41
