time	experiment	replicate	pyruvate
0	bhri	A	8.850385931
4	bhri	A	8.711808181
8	bhri	A	8.589231106
12	bhri	A	8.243012071
16	bhri	A	7.582033405
20	bhri	A	6.731494678
24	bhri	A	5.013695301
28	bhri	A	1.364342642
32	bhri	A	0.094506043
36	bhri	A	0.122085509
48	bhri	A	0.112519978
60	bhri	A	0.101295146
72	bhri	A	0.089214599
96	bhri	A	0.087992992
120	bhri	A	0.074545936
0	bhri	B	8.798062084
4	bhri	B	8.664769702
8	bhri	B	8.588597088
12	bhri	B	8.282876858
16	bhri	B	7.582033405
20	bhri	B	6.402373532
24	bhri	B	3.845832199
28	bhri	B	0.074000743
32	bhri	B	0.113960589
36	bhri	B	0.123959042
48	bhri	B	0.113569565
60	bhri	B	0.102069339
72	bhri	B	0.091216728
96	bhri	B	0.086132179
120	bhri	B	0.073591748
0	bhri	C	8.804677678
4	bhri	C	8.635625875
8	bhri	C	8.650336707
12	bhri	C	8.259661301
16	bhri	C	7.616624941
20	bhri	C	6.885964067
24	bhri	C	5.699028332
28	bhri	C	3.161901276
32	bhri	C	0.080528591
36	bhri	C	0.100651272
48	bhri	C	0.106575807
60	bhri	C	0.089766443
72	bhri	C	0.083746863
96	bhri	C	0.07827271
120	bhri	C	0.063428115
0	bhbtri	A	8.268739469
4	bhbtri	A	8.106014116
8	bhbtri	A	7.953895035
12	bhbtri	A	7.760146415
16	bhbtri	A	6.971214849
20	bhbtri	A	6.000372627
24	bhbtri	A	4.649275912
28	bhbtri	A	2.151197295
32	bhbtri	A	0
36	bhbtri	A	0.123560901
40	bhbtri	A	0.138256942
44	bhbtri	A	0.142944006
48	bhbtri	A	0.126867322
60	bhbtri	A	0.11844797
72	bhbtri	A	0.114017656
96	bhbtri	A	0.102043172
120	bhbtri	A	0.085168476
0	bhbtri	B	8.299509128
4	bhbtri	B	8.109565424
8	bhbtri	B	7.801726686
12	bhbtri	B	7.689676732
16	bhbtri	B	6.972064514
20	bhbtri	B	6.081873414
24	bhbtri	B	5.045887664
28	bhbtri	B	2.719123527
32	bhbtri	B	0
36	bhbtri	B	0.112213897
40	bhbtri	B	0.135608542
44	bhbtri	B	0.143299505
48	bhbtri	B	0.127863831
60	bhbtri	B	0.115411132
72	bhbtri	B	0.114740151
96	bhbtri	B	0.101994402
120	bhbtri	B	0.085508648
0	bhbt	A	8.441214533
4	bhbt	A	8.422070114
8	bhbt	A	8.293099263
12	bhbt	A	8.473019749
16	bhbt	A	6.585555858
20	bhbt	A	5.685337987
24	bhbt	A	3.564820498
28	bhbt	A	0
32	bhbt	A	0
36	bhbt	A	0.126511595
40	bhbt	A	0.146180362
44	bhbt	A	0.15249004
48	bhbt	A	0.139541106
60	bhbt	A	0.129883173
72	bhbt	A	0
96	bhbt	A	0
120	bhbt	A	0
0	bhbt	B	8.59849654
4	bhbt	B	8.349062373
8	bhbt	B	8.055256294
12	bhbt	B	8.351781947
16	bhbt	B	6.736005089
20	bhbt	B	5.990074479
24	bhbt	B	4.789469398
28	bhbt	B	1.693901947
32	bhbt	B	0
36	bhbt	B	0
40	bhbt	B	0.125623983
44	bhbt	B	0.146185953
48	bhbt	B	0.131514671
60	bhbt	B	0.127000233
72	bhbt	B	0
96	bhbt	B	0
120	bhbt	B	0
0	bhbt	C	8.643198053
4	bhbt	C	8.349062373
8	bhbt	C	8.551519847
12	bhbt	C	8.520716735
16	bhbt	C	6.610505071
20	bhbt	C	6.370724728
24	bhbt	C	5.483413766
28	bhbt	C	4.083661221
32	bhbt	C	1.521902769
36	bhbt	C	0
40	bhbt	C	0
44	bhbt	C	0
48	bhbt	C	0.116063348
60	bhbt	C	0.126120534
72	bhbt	C	0
96	bhbt	C	0
120	bhbt	C	0
