id	feedingTerm	metabolite	yield	monodK
1	bt.lag.ft1	glucose	0.827910241	8.472387224
2	bt.lag.ft1	succinate	-0.998722004	0
3	bt.lag.ft1	acetate	-0.956893211	0
4	bt.lag.ft1	lactate	-0.956893211	0
5	bt.lag.ft1	formate	-0.956893211	0
6	bt.lag.ft2	pyruvate	3.995593492	129.7118647
7	bt.lag.ft2	acetate	-0.956893211	0
8	bt.lag.ft2	lactate	-0.956893211	0
9	bt.lag.ft2	formate	-0.956893211	0
10	bt.expA.ft1	glucose	0.827910241	8.472387224
11	bt.expA.ft1	succinate	-0.998722004	0
12	bt.expA.ft1	acetate	-0.956893211	0
13	bt.expA.ft1	lactate	-0.956893211	0
14	bt.expA.ft1	formate	-0.956893211	0
15	bt.expA.ft2	pyruvate	3.995593492	129.7118647
16	bt.expA.ft2	acetate	-0.956893211	0
17	bt.expA.ft2	lactate	-0.956893211	0
18	bt.expA.ft2	formate	-0.956893211	0
19	bt.expB.ft3	mannose	0.827910241	8.472387224
20	bt.expB.ft3	succinate	-0.998722004	0
21	bt.expB.ft3	acetate	-0.956893211	0
22	bt.expB.ft3	lactate	-0.956893211	0
23	bt.expB.ft3	formate	-0.956893211	0
24	bh.expA.ft1	trehalose	1.2	1
25	bh.expA.ft1	acetate	-0.03138137	0
26	bh.expA.ft1	lactate	-1.5	0
27	bh.expA.ft2	pyruvate	0.9	5.692804299
28	bh.expA.ft2	acetate	-1.03270142	0
29	bh.expB.ft3	glutamate	1	5
30	bh.expB.ft3	glucose	1	2
31	bh.expB.ft3	acetate	-1.8	0
32	ri.lag.ft1	glucose	1	1
33	ri.lag.ft1	lactate	-1	0
34	ri.lag.ft1	acetate	-1	0
35	ri.lag.ft1	butyrate	-1	0
36	ri.lag.ft2	pyruvate	1	1
37	ri.lag.ft2	acetate	-1	0
38	ri.lag.ft2	butyrate	-1	0
39	ri.expA.ft1	glucose	1	1
40	ri.expA.ft1	lactate	-1	0
41	ri.expA.ft1	acetate	-1	0
42	ri.expA.ft1	butyrate	-1	0
43	ri.expA.ft2	pyruvate	1	1
44	ri.expA.ft2	acetate	-1	0
45	ri.expA.ft2	butyrate	-1	0
46	ri.expB.ft3	lactate	1	1
47	ri.expB.ft3	butyrate	-1	0
48	ri.expB.ft4	lactate	1	1
49	ri.expB.ft4	acetate	1	1
50	ri.expB.ft4	butyrate	-1	0
51	ri.maint.ft3	lactate	1	1
52	ri.maint.ft3	butyrate	-1	0
53	ri.maint.ft4	lactate	1	1
54	ri.maint.ft4	acetate	1	1
55	ri.maint.ft4	butyrate	-1	0
